sample_id,sigma0,ramp,omega,cyc_frac,Y0,a_crit,A_rate,D_c,m_sub,noise_sigma,seed,a0,h,tf,t_fp,a_fp,finite
36,0.7316428590144501,0.0,0.0,0.0,0.8971996015567225,2.0,1.599237570968699,0.12778936999490484,0.5,0.2,1111,1e-06,0.2,6.5,1.7999999999999998,0.0818228758071666,1
37,0.8383920740766015,0.0,0.0,0.0,1.036013507040692,2.0,1.479346160196357,0.1209509512962572,0.5,0.2,1111,1e-06,0.2,6.5,1.9999999999999998,0.17244478716543366,1
38,0.6089179975871825,0.0,0.0,0.0,1.1619493892819983,2.0,1.6260056088951063,0.11521656703499318,0.5,0.2,1111,1e-06,0.2,6.5,0.8,0.08987238628765058,1
39,0.6455130093483678,0.0,0.0,0.0,0.8720469156579328,2.0,1.537239324510296,0.11880431195384833,0.5,0.2,1111,1e-06,0.2,6.5,1.9999999999999998,0.10523078367659061,1
40,0.5416223686847887,0.0,0.0,0.0,1.160848162517024,2.0,1.4720102418100407,0.11742397882764463,0.5,0.2,1111,1e-06,0.2,6.5,0.2,0.061346173426002626,1
41,0.7094160994816247,0.0,0.0,0.0,0.8813678096656422,2.0,1.619546650780386,0.12363863622151877,0.5,0.2,1111,1e-06,0.2,6.5,2.8000000000000003,0.09850508046900837,1
42,0.8460195299823314,0.0,0.0,0.0,0.8941474704265188,2.0,1.621077843538831,0.12015089294353873,0.5,0.2,1111,1e-06,0.2,6.5,2.1999999999999997,0.1142682092153888,1
43,0.767464763430147,0.0,0.0,0.0,0.8678585553673611,2.0,1.6865520555929332,0.11380972414283576,0.5,0.2,1111,1e-06,0.2,6.5,2.1999999999999997,0.1476012817961334,1
44,0.7818522487489885,0.0,0.0,0.0,1.1169130544368664,2.0,1.5417593260158213,0.12213096313687238,0.5,0.2,1111,1e-06,0.2,6.5,1.0,0.15658103247132116,1
45,0.6531153571024979,0.0,0.0,0.0,1.1454976226762685,2.0,1.4904294203597637,0.12417714523838684,0.5,0.2,1111,1e-06,0.2,6.5,1.2,0.10893811375583724,1
46,0.5387179638636432,0.0,0.0,0.0,1.135105978426468,2.0,1.424124404563227,0.1158555831337485,0.5,0.2,1111,1e-06,0.2,6.5,6.000000000000003,0.09036122892495514,1
